edition,edition_id,year,country,country_noc,gold,silver,bronze,total,paese_olimpiade,citta_olimpiade,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
1964 Summer Olympics,16,1964,United States,USA,36,26,28,90,JPN,Tokyo,715.0,9629090.0,,20.361518483903534,1.2417857259036351,51609620413.94308,9.078180054740653,,,,,,,1.2277248732638035,586156715517.2415,586156715517.2415,4.266666666666566,3165.352148377575,587035445116.8806,3325.0,,,25.200000000000003,70.01951219512196,59.7699535769864,1.5449640524500765,185035500.0,130812379.75,70.68670046368507
1964 Summer Olympics,16,1964,Soviet Union,URS,30,31,35,96,JPN,Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964 Summer Olympics,16,1964,Japan,JPN,16,5,8,29,JPN,Tokyo,1668.0,377800.0,,258.96554858649205,5.621329805584212,192687500000.0,0.9457870729027288,,,,,,,5.8319214149668035,61013284649.76582,21964782473915.7,9.808717262128791,644.4312483286477,21763318171630.797,695.0,,,26.699999999999996,68.59871951219513,65.65027725748756,0.9462200370789494,94526000.0,61194829.25,64.72726864343143
1964 Summer Olympics,16,1964,Germany,GER,10,22,18,50,JPN,Tokyo,700.0,356970.0,,212.067872521219,2.41013433095714,7478785657.657507,4.206672836289956,,,,,,,4.061243911982796,99826497225.70166,206736583184.5575,3.8857356418186604,1352.6765077191199,207406860992.925,1425.0,,,,69.60556097560975,66.37249512526924,0.8583870330873934,73733167.25,56365009.25,76.43915436192714
1964 Summer Olympics,16,1964,Italy,ITA,10,10,7,27,JPN,Tokyo,832.0,301340.0,,173.028005394807,4.136680139838305,383782725.0,2.668742843514755,,,,,,,5.677916232753979,50277926794.68755,16223490115.2761,6.6735414499724905,990.3846500703637,16326898677.917599,1060.0,,23.325000000000003,41.7,69.32048780487806,65.47713609000678,0.691519702104025,50716875.0,30467613.5,60.069420997413275
1964 Summer Olympics,16,1964,Hungary,HUN,10,7,5,22,JPN,Tokyo,589.0,93030.0,,111.72843829285233,,6032500000.0,,,,,,,,-0.01866445417179798,,198580968439.67078,5.50000000000001,,199864220814.53625,,,27.4,45.1,68.41981707317072,65.7061900149186,0.34688042182001566,10040060.5,5387801.25,53.662372927898524
1964 Summer Olympics,16,1964,Poland,POL,7,6,10,23,JPN,Tokyo,600.0,312690.0,,99.01781536017057,,1690000.0,,,,,,,,,,,,,,,,,52.0,67.81524390243905,60.8697470689659,1.1871564453424166,30155487.5,14722517.5,48.81490963598432
1964 Summer Olympics,16,1964,Australia,AUS,6,2,10,18,JPN,Tokyo,534.0,7741220.0,,1.3960662822331866,1.5844846389015603,440500000.0,2.3987537507427996,2297960367.6736574,17962750000.0,26.8864255202535,,,,1.6456790210646008,19969043195.04693,17829500000.0,3.330721838735947,1880.41368778761,17831750000.0,1925.0,,,19.75,70.91109756097562,61.359043069867944,2.1160653084059367,10612869.25,8709155.75,82.05448491130954
1964 Summer Olympics,16,1964,Czechoslovakia,TCH,5,6,3,14,JPN,Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964 Summer Olympics,16,1964,Great Britain,GBR,4,12,2,18,JPN,Tokyo,1220.0,243610.0,,220.0360985960127,2.6665285941289296,1950546810.3958573,6.939695836355695,13999604623.934425,,,,,,2.7801589743679003,79696364841.15167,28463000000.0,2.8865185418462063,1502.30331345183,32393304688.344303,1775.0,,15.325000000000001,22.25,70.93963414634146,64.93749595484991,0.7858292583236995,53025000.0,41503978.75,78.27430470072463
1964 Summer Olympics,16,1964,Bulgaria,BUL,3,5,2,10,JPN,Tokyo,608.0,110990.0,,72.4161890987978,,,,,,,,,,,,,,,,,,,39.075,69.81109756097563,66.68275622055185,0.8812644130728361,7975395.75,3093465.5,38.7761478424072
